"k","alpha","omega","stabilite"
4,0.55,0.15,0.544344992684583
5,0.55,0.15,0.663392558528042
6,0.55,0.15,0.700066711077856
2,0.6,0.15,0.835225606563781
3,0.6,0.15,0.891961921138831
4,0.6,0.15,0.651157282731668
5,0.6,0.15,0.639650343812258
6,0.6,0.15,0.707137274826465
2,0.65,0.15,0.825598091595483
3,0.65,0.15,0.869460700502886
4,0.65,0.15,0.669986141460773
5,0.65,0.15,0.644903496658015
6,0.65,0.15,0.699054391520204
2,0.7,0.15,0.825867041191058
3,0.7,0.15,0.860566768235469
4,0.7,0.15,0.683432563361787
5,0.7,0.15,0.64841066612697
6,0.7,0.15,0.693412515808751
2,0.75,0.15,0.795991059206807
3,0.75,0.15,0.8584374795283
4,0.75,0.15,0.694057675525664
5,0.75,0.15,0.647564153121101
6,0.75,0.15,0.671201289040258
2,0.8,0.15,0.822022504247049
3,0.8,0.15,0.818285550845802
4,0.8,0.15,0.712095381136213
5,0.8,0.15,0.659158110387131
6,0.8,0.15,0.636910980502152
2,0.85,0.15,0.800518521206302
3,0.85,0.15,0.816654871224529
4,0.85,0.15,0.706169074618423
5,0.85,0.15,0.661719444311592
6,0.85,0.15,0.676868746230219
2,0.9,0.15,0.841544716351075
3,0.9,0.15,0.827070636423756
4,0.9,0.15,0.718869343632176
5,0.9,0.15,0.635388630292682
6,0.9,0.15,0.641603871592494
2,0.95,0.15,0.852094611381107
3,0.95,0.15,0.79238165003141
4,0.95,0.15,0.677678124079979
5,0.95,0.15,0.642094961972585
6,0.95,0.15,0.682002430280617
2,1,0.15,0.879275921506197
3,1,0.15,0.767732734164043
4,1,0.15,0.71274795937832
5,1,0.15,0.614633040701441
6,1,0.15,0.703673312381079
2,0,0.2,0.930251934364112
3,0,0.2,0.847953868320876
4,0,0.2,0.700663852294805
5,0,0.2,0.76398069496981
6,0,0.2,0.799990697472876
2,0.05,0.2,0.928124971730402
3,0.05,0.2,0.804938676104219
4,0.05,0.2,0.656985293232666
5,0.05,0.2,0.732544666190848
6,0.05,0.2,0.768004351569853
