"k","alpha","omega","stabilite"
4,0.45,0.2,0.909864242916123
5,0.45,0.2,0.812914167145157
6,0.45,0.2,0.77059101482749
2,0.5,0.2,0.523790163638976
3,0.5,0.2,0.930190643534083
4,0.5,0.2,0.928435313705947
5,0.5,0.2,0.821530079086627
6,0.5,0.2,0.768716918246558
2,0.55,0.2,0.409203891733453
3,0.55,0.2,0.95824336568094
4,0.55,0.2,0.932895878174579
5,0.55,0.2,0.841106584577476
6,0.55,0.2,0.770409191197492
2,0.6,0.2,0.546628303707731
3,0.6,0.2,0.95751297196542
4,0.6,0.2,0.921692691213525
5,0.6,0.2,0.867955718563894
6,0.6,0.2,0.849409946633666
2,0.65,0.2,0.484492137024426
3,0.65,0.2,0.957576354597307
4,0.65,0.2,0.943430049675314
5,0.65,0.2,0.845161687265033
6,0.65,0.2,0.857060276452112
2,0.7,0.2,0.38322155625731
3,0.7,0.2,0.953635901758444
4,0.7,0.2,0.934189458859185
5,0.7,0.2,0.839005674271696
6,0.7,0.2,0.83449951290408
2,0.75,0.2,0.455188279813481
3,0.75,0.2,0.957223988071148
4,0.75,0.2,0.920582104435337
5,0.75,0.2,0.869173252631038
6,0.75,0.2,0.866991107881541
2,0.8,0.2,0.44464930204581
3,0.8,0.2,0.95258873459577
4,0.8,0.2,0.915564039677328
5,0.8,0.2,0.859313159792891
6,0.8,0.2,0.84858375967339
2,0.85,0.2,0.5252451146307
3,0.85,0.2,0.948032007581428
4,0.85,0.2,0.92969471151696
5,0.85,0.2,0.871663688798144
6,0.85,0.2,0.88624666752732
2,0.9,0.2,0.453057799788099
3,0.9,0.2,0.954365547097033
4,0.9,0.2,0.92977657149947
5,0.9,0.2,0.902389068015217
6,0.9,0.2,0.889591049188698
2,0.95,0.2,0.409629090837411
3,0.95,0.2,0.962930086307156
4,0.95,0.2,0.926549264361128
5,0.95,0.2,0.898728870132821
6,0.95,0.2,0.906357007259253
2,1,0.2,0.545923484107754
3,1,0.2,0.954313789648286
4,1,0.2,0.909867115611561
5,1,0.2,0.894720433969395
6,1,0.2,0.89649885915068
2,0,0.25,0.441096529173576
3,0,0.25,0.986309120750628
4,0,0.25,0.906360950257908
5,0,0.25,0.820868244695528
6,0,0.25,0.816630122291174
2,0.05,0.25,0.593909089915936
3,0.05,0.25,0.976453697443948
4,0.05,0.25,0.925940960696715
5,0.05,0.25,0.824141591836331
6,0.05,0.25,0.829728834401233
2,0.1,0.25,0.485508986957383
3,0.1,0.25,0.971704094164398
4,0.1,0.25,0.922072705863668
5,0.1,0.25,0.817912907808556
6,0.1,0.25,0.809766381008909
2,0.15,0.25,0.59134067036173
3,0.15,0.25,0.95760359806605
4,0.15,0.25,0.913814884818155
5,0.15,0.25,0.809828738958205
6,0.15,0.25,0.808506842584986
2,0.2,0.25,0.551540816698153
3,0.2,0.25,0.957575105504961
4,0.2,0.25,0.909371023784883
5,0.2,0.25,0.798567061413765
6,0.2,0.25,0.779858685617992
2,0.25,0.25,0.515569837181305
3,0.25,0.25,0.943419485949306
4,0.25,0.25,0.880303999751075
5,0.25,0.25,0.764908774875621
6,0.25,0.25,0.75406465528708
2,0.3,0.25,0.411759281296174
3,0.3,0.25,0.941677563851073
4,0.3,0.25,0.891846352567142
5,0.3,0.25,0.771067964231141
6,0.3,0.25,0.815876501709583
2,0.35,0.25,0.543603371716371
3,0.35,0.25,0.946433207768169
4,0.35,0.25,0.882801840431562
5,0.35,0.25,0.752217310177506
6,0.35,0.25,0.788543593384793
2,0.4,0.25,0.448856772526775
3,0.4,0.25,0.924970887387679
4,0.4,0.25,0.878196912620254
5,0.4,0.25,0.728674098760578
6,0.4,0.25,0.786403926071679
2,0.45,0.25,0.4423574948132
3,0.45,0.25,0.939503623188581
4,0.45,0.25,0.930220316461312
5,0.45,0.25,0.68324620130203
6,0.45,0.25,0.794440148871657
2,0.5,0.25,0.457949448858759
3,0.5,0.25,0.964520007814336
4,0.5,0.25,0.932901161873162
5,0.5,0.25,0.821378101792152
6,0.5,0.25,0.774755817055725
2,0.55,0.25,0.473065670545376
3,0.55,0.25,0.961239277358777
4,0.55,0.25,0.942239818564998
5,0.55,0.25,0.83161307992442
6,0.55,0.25,0.782416819797934
2,0.6,0.25,0.505806555172105
3,0.6,0.25,0.944995649231103
4,0.6,0.25,0.942233031144856
5,0.6,0.25,0.825050613374107
6,0.6,0.25,0.787581090034492
2,0.65,0.25,0.521221933512641
3,0.65,0.25,0.9607733357263
4,0.65,0.25,0.932975205556373
5,0.65,0.25,0.852217680798102
6,0.65,0.25,0.780614515942554
2,0.7,0.25,0.55528864333122
3,0.7,0.25,0.933760462503669
4,0.7,0.25,0.925597970221334
5,0.7,0.25,0.869745281673741
6,0.7,0.25,0.752471858634076
2,0.75,0.25,0.4793972399049
3,0.75,0.25,0.932958995948386
4,0.75,0.25,0.909297447857678
5,0.75,0.25,0.87401066071488
6,0.75,0.25,0.876580281323675
2,0.8,0.25,0.527386090476046
3,0.8,0.25,0.927711491023713
4,0.8,0.25,0.911639899588648
5,0.8,0.25,0.880324292607695
6,0.8,0.25,0.856625604558361
2,0.85,0.25,0.548979214141749
3,0.85,0.25,0.933955033742051
4,0.85,0.25,0.918317374130294
5,0.85,0.25,0.889610400754169
6,0.85,0.25,0.888295347065557
2,0.9,0.25,0.49085470798221
3,0.9,0.25,0.903719084952137
4,0.9,0.25,0.917987678727424
5,0.9,0.25,0.903243520911765
6,0.9,0.25,0.862883795796888
2,0.95,0.25,0.575503852648413
3,0.95,0.25,0.90364625537677
4,0.95,0.25,0.905316633176065
5,0.95,0.25,0.91317060858589
6,0.95,0.25,0.862229099142725
2,1,0.25,0.57899437055909
3,1,0.25,0.887312292978525
4,1,0.25,0.909281339478333
5,1,0.25,0.906516621481889
6,1,0.25,0.892932165971306
2,0,0.3,0.498348003453348
3,0,0.3,0.973560877190474
4,0,0.3,0.919477872887612
5,0,0.3,0.883787031410595
6,0,0.3,0.837802438270682
