"k","alpha","omega","stabilite"
5,0.9,0.15,0.760725797012822
6,0.9,0.15,0.705755910463311
2,0.95,0.15,0.934676443659633
3,0.95,0.15,0.79332827077033
4,0.95,0.15,0.848570046439245
5,0.95,0.15,0.769327115709402
6,0.95,0.15,0.714638359690537
2,1,0.15,0.944633257265098
3,1,0.15,0.805935651767027
4,1,0.15,0.832788469381211
5,1,0.15,0.768707813450452
6,1,0.15,0.722592131547267
2,0,0.2,0.91247408958194
3,0,0.2,0.905356378438515
4,0,0.2,0.88733373295422
5,0,0.2,0.80274229162607
6,0,0.2,0.760722374507064
2,0.05,0.2,0.929231356619524
3,0.05,0.2,0.899559422550068
4,0.05,0.2,0.879304234749251
5,0.05,0.2,0.842886945123325
6,0.05,0.2,0.788964026627756
2,0.1,0.2,0.922492413317162
3,0.1,0.2,0.881818369506106
4,0.1,0.2,0.881433752991896
5,0.1,0.2,0.825921546176191
6,0.1,0.2,0.806021327891843
2,0.15,0.2,0.910470331369114
3,0.15,0.2,0.890337465158966
4,0.15,0.2,0.854660617102593
5,0.15,0.2,0.854682194246959
6,0.15,0.2,0.698273757678944
2,0.2,0.2,0.901763323873794
3,0.2,0.2,0.883903315855304
4,0.2,0.2,0.85182547256183
5,0.2,0.2,0.824555227116283
6,0.2,0.2,0.679421844363691
2,0.25,0.2,0.922831128254668
3,0.25,0.2,0.876492874261141
4,0.25,0.2,0.885475327101033
5,0.25,0.2,0.84487188404998
6,0.25,0.2,0.801580076793263
2,0.3,0.2,0.928207103998106
3,0.3,0.2,0.860317231098191
4,0.3,0.2,0.888276365553402
5,0.3,0.2,0.819731582343214
6,0.3,0.2,0.777167220505507
2,0.35,0.2,0.94376580760965
3,0.35,0.2,0.853514819829954
4,0.35,0.2,0.885171906099594
5,0.35,0.2,0.805352736372634
6,0.35,0.2,0.772778511601963
2,0.4,0.2,0.925113085134899
3,0.4,0.2,0.864289657375075
4,0.4,0.2,0.883935662010266
5,0.4,0.2,0.825049620084147
6,0.4,0.2,0.746223065952197
2,0.45,0.2,0.932235445503142
3,0.45,0.2,0.824658699711424
4,0.45,0.2,0.881028972428165
5,0.45,0.2,0.780978717449894
6,0.45,0.2,0.789832228445406
2,0.5,0.2,0.936788251151595
3,0.5,0.2,0.860869413293881
4,0.5,0.2,0.891902114702373
5,0.5,0.2,0.783470592292662
6,0.5,0.2,0.748718893890351
2,0.55,0.2,0.935740170107829
3,0.55,0.2,0.805641686069961
4,0.55,0.2,0.873768729387627
5,0.55,0.2,0.783428455787646
6,0.55,0.2,0.732611639834688
2,0.6,0.2,0.946034360441769
3,0.6,0.2,0.837415384712139
4,0.6,0.2,0.862069938102707
5,0.6,0.2,0.79621436874942
6,0.6,0.2,0.70654577000959
2,0.65,0.2,0.93912550158626
3,0.65,0.2,0.815240105599022
4,0.65,0.2,0.849362461805196
5,0.65,0.2,0.810576936209629
6,0.65,0.2,0.726674593205432
2,0.7,0.2,0.942516408954284
3,0.7,0.2,0.809793263083161
4,0.7,0.2,0.862741033266049
5,0.7,0.2,0.792331463160519
6,0.7,0.2,0.72077347047359
2,0.75,0.2,0.930332592764394
3,0.75,0.2,0.82470712686211
4,0.75,0.2,0.84628906211825
5,0.75,0.2,0.754247995972671
6,0.75,0.2,0.717005334307402
2,0.8,0.2,0.942083168136887
3,0.8,0.2,0.78585165126815
4,0.8,0.2,0.826833277641395
5,0.8,0.2,0.753573888228118
6,0.8,0.2,0.74207417189362
2,0.85,0.2,0.947791063379401
3,0.85,0.2,0.778815080467526
4,0.85,0.2,0.839562817358785
